1	11
2	16
3	16
4	18
5	10
6	7
7	2
8	18
9	2
10	16
11	10
12	20
13	2
14	14
15	10
16	10
17	20
18	18
19	20
20	1
21	3
22	20
23	6
24	7
25	18
26	16
27	9
28	5
29	15
30	19
31	20
32	13
33	18
34	11
35	13
36	10
37	20
38	17
39	20
40	11
41	11
42	17
43	2
44	14
45	2
46	17
47	17
48	15
49	6
50	14
51	3
52	18
53	15
54	17
55	20
56	7
57	1
58	16
59	2
60	16
61	15
62	3
63	20
64	15
65	16
66	10
67	14
68	10
69	6
70	7
71	11
72	14
73	18
74	12
75	4
76	17
77	11
78	16
79	10
80	17
81	3
82	20
83	15
84	3
85	10
86	17
87	10
88	5
89	12
90	6
91	18
92	17
93	10
94	17
95	12
96	20
97	2
98	12
99	8
100	12
101	10
102	8
103	10
104	15
105	12
106	20
107	16
108	17
109	15
110	17
111	7
112	1
113	20
114	18
115	1
116	4
117	10
118	4
119	12
120	18
121	3
122	15
123	12
124	11
125	12
126	16
127	7
128	17
129	18
130	14
131	18
132	3
133	6
134	11
135	16
136	12
137	1
138	18
139	16
140	15
141	19
142	5
143	19
144	7
145	20
146	20
147	12
148	7
149	20
150	18
151	16
152	12
153	2
154	2
155	12
156	16
157	3
158	4
159	6
160	18
161	6
162	4
163	13
164	12
165	9
166	2
167	14
168	17
169	9
170	5
171	7
172	12
173	15
174	8
175	6
176	12
177	20
178	18
179	13
180	20
181	2
182	16
183	18
184	16
185	12
186	18
187	1
188	6
189	1
190	15
191	6
192	11
193	13
194	1
195	16
196	11
197	14
198	19
199	18
200	12
201	5
202	16
203	11
204	18
205	1
206	12
207	3
208	12
209	6
210	3
211	2
212	2
213	11
214	12
215	1
216	9
217	15
218	3
219	10
220	12
221	14
222	4
223	20
224	17
225	16
226	9
227	10
228	16
229	20
230	2
231	16
232	20
233	12
234	7
235	2
236	16
237	1
238	17
239	16
240	14
241	4
242	16
243	14
244	19
245	20
246	20
247	3
248	16
249	6
250	3
251	4
252	11
253	10
254	2
255	4
256	17
257	16
258	7
259	12
260	16
261	19
262	11
263	12
264	11
265	12
266	20
267	14
268	19
269	15
270	16
271	14
272	11
273	9
274	11
275	10
276	12
277	11
278	16
279	16
280	16
281	5
282	10
283	18
284	17
285	19
286	16
287	14
288	8
289	14
290	11
291	12
292	10
293	7
294	19
295	16
296	20
297	18
298	17
299	3
300	6
301	16
302	12
303	9
304	5
305	8
306	2
307	9
308	19
309	16
310	17
311	18
312	6
313	17
314	12
315	2
316	10
317	16
318	12
319	3
320	7
321	16
322	15
323	16
324	18
325	10
326	7
327	8
328	18
329	15
330	20
331	16
332	9
333	14
334	11
335	18
336	17
337	1
338	15
339	8
340	20
341	2
342	18
343	10
344	18
345	16
346	20
347	6
348	20
349	2
350	10
351	9
352	14
353	16
354	10
355	12
356	14
357	2
358	7
359	14
360	2
361	1
362	12
363	15
364	5
365	7
366	20
367	15
368	9
369	15
370	13
371	16
372	9
373	12
374	19
375	20
376	14
377	20
378	1
379	15
380	15
381	18
382	1
383	17
384	3
385	16
386	1
387	14
388	17
389	8
390	12
391	15
392	18
393	2
394	17
395	5
396	12
397	19
398	15
399	9
400	2
401	2
402	16
403	19
404	13
405	10
406	10
407	15
408	2
409	14
410	6
411	12
412	10
413	7
414	12
415	12
416	16
417	2
418	7
419	10
420	18
421	12
422	9
423	6
424	10
425	13
426	15
427	12
428	5
429	10
430	12
431	18
432	10
433	8
434	15
435	6
436	14
437	18
438	15
439	9
440	2
441	15
442	2
443	19
444	9
445	6
446	20
447	4
448	18
449	7
450	4
451	9
452	20
453	13
454	18
455	14
456	17
457	17
458	6
459	2
460	11
461	16
462	14
463	4
464	4
465	20
466	13
467	18
468	10
469	12
470	12
471	11
472	14
473	6
474	9
475	8
476	7
477	9
478	7
479	12
480	10
481	18
482	2
483	12
484	20
485	3
486	9
487	17
488	4
489	10
490	18
491	16
492	2
493	12
494	1
495	15
496	15
497	18
498	8
499	5
500	3
